학교ID,학교명,전화번호,설립유형,학생수,학생수남,학생수여,교원수,교원수남,교원수여,공시연도
B000005515,안서초등학교,041-551-4535,단설,202,95,107,16,5,11,2025
B000005516,천안청수초등학교,041-551-8953,단설,285,137,148,26,8,18,2025
B000005517,천안용소초등학교,041-579-8140,단설,588,279,309,43,11,32,2025
B000005518,천안용곡초등학교,041-569-6185,단설,644,320,324,41,12,29,2025
B000005519,천안청룡초등학교,041-579-9528,단설,587,299,288,37,18,19,2025
B000005520,천안신촌초등학교,041-577-6854,단설,152,82,70,20,5,15,2025
B000005521,천안새샘초등학교,041-413-2300,단설,1045,544,501,69,17,52,2025
B000005522,천안청당초등학교,041-523-2594,단설,1250,617,633,78,23,55,2025
B000005523,천안가온초등학교,041-522-1730,병설,851,425,426,59,25,34,2025
B000005524,천안봉명초등학교,041-573-6114,병설,277,141,136,23,5,18,2025
B000005525,천안봉서초등학교,041-575-3326,병설,474,256,218,38,12,26,2025
B000005526,천안신용초등학교,041-573-6105,단설,562,302,260,42,15,27,2025
B000005527,천안신부초등학교,041-563-8248,단설,525,267,258,42,6,36,2025
B000005528,천안구성초등학교,041-563-4240,단설,336,180,156,23,7,16,2025
B000005529,천안신안초등학교,041-622-7603,병설,589,295,294,41,15,26,2025
B000005530,천안미라초등학교,041-571-4271,단설,250,132,118,24,7,17,2025
B000005531,천안쌍용초등학교,041-571-8616,단설,457,219,238,32,10,22,2025
B000005532,천안용암초등학교,041-577-0382,단설,480,232,248,33,12,21,2025
B000005533,천안와촌초등학교,041-579-9084,단설,199,119,80,21,6,15,2025
B000005534,천안서초등학교,041-620-3800,단설,409,206,203,36,12,24,2025
B000005535,천안신대초등학교,041-558-0646,단설,496,265,231,39,11,28,2025
B000005536,천안부대초등학교,041-551-2460,단설,250,149,101,20,5,15,2025
B000005537,천안업성초등학교,041-583-6861,병설,43,30,13,12,5,7,2025
B000005538,천안수곡초등학교,041-576-6021,단설,572,288,284,35,12,23,2025
B000005539,천안월봉초등학교,041-577-1814,단설,584,309,275,46,13,33,2025
B000005540,천안오성초등학교,041-522-6092,단설,941,494,447,63,20,43,2025
B000005541,천안부성초등학교,041-561-0493,단설,581,282,299,39,19,20,2025
B000005542,천안두정초등학교,041-622-9581,단설,803,410,393,56,22,34,2025
B000005543,천안쌍정초등학교,041-578-9382,단설,445,240,205,34,10,24,2025
B000005544,천안성정초등학교,041-577-4105,단설,242,136,106,27,9,18,2025
B000005545,환서초등학교,041-551-5895,단설,1945,950,995,113,29,84,2025
B000005546,천안백석초등학교,0416228484,단설,668,329,339,46,11,35,2025
B000005547,천안서당초등학교,,단설,764,380,384,55,9,46,2025
B000005548,천안불당초등학교,041-622-2094,단설,1109,577,532,69,15,54,2025
B000005549,목천초등학교,041-557-2017,단설,92,44,48,15,5,10,2025
B000005550,도장초등학교,041-553-4428,단설,46,28,18,10,4,6,2025
B000005551,천안부영초등학교,041-565-1373,단설,237,125,112,20,9,11,2025
B000005552,신흥초등학교,041-557-0384,병설,325,157,168,28,12,16,2025
B000005553,신계초등학교,0415571292,단설,172,81,91,20,6,14,2025
B000005554,신가초등학교,041-581-2702,단설,39,24,15,10,4,6,2025
B000005555,대홍초등학교,0415822742,단설,29,16,13,10,5,5,2025
B000005556,도하초등학교,041-582-0223,단설,44,22,22,11,3,8,2025
B000005557,성환초등학교,041-581-3122,병설,451,228,223,36,15,21,2025
B000005558,성신초등학교,041-581-2815,단설,101,55,46,19,6,13,2025
B000005559,신방초등학교,041-582-8291,단설,51,34,17,11,5,6,2025
B000005560,직산초등학교,041-581-8224,단설,103,53,50,15,5,10,2025
B000005561,양당초등학교,041-584-0012,단설,113,61,52,13,3,10,2025
B000005562,삼은초등학교,041-583-3782,병설,450,235,215,38,17,21,2025
B000005563,성거초등학교,041-622-0010,병설,513,278,235,38,19,19,2025
B000005564,소망초등학교,041-587-0061,단설,445,227,218,37,9,28,2025
B000005565,행정초등학교,041-566-6506,단설,15,9,6,8,4,4,2025
B000005566,은석초등학교,041-553-3009,단설,36,19,17,11,5,6,2025
B000005567,병천초등학교,041-561-9525,단설,112,52,60,14,4,10,2025
B000005568,천동초등학교,041-554-4052,단설,15,11,4,9,6,3,2025
B000005569,수신초등학교,041-522-0102,단설,28,12,16,12,6,6,2025
B000005570,신사초등학교,041-553-7121,단설,29,12,17,12,6,6,2025
B000005571,성남초등학교,,병설,42,21,21,9,2,7,2025
B000005572,미죽초등학교,041-566-6266,단설,94,47,47,11,4,7,2025
B000005573,용정초등학교,041-553-6126,단설,89,46,43,13,6,7,2025
B000005574,풍세초등학교,041-566-7002,병설,297,167,130,26,13,13,2025
B000005575,보산원초등학교,0415670350,단설,34,15,19,10,5,5,2025
B000005576,광덕초등학교,041-568-5956,단설,53,25,28,12,4,8,2025
B000005577,양대초등학교,041-584-5044,단설,41,22,19,9,3,6,2025
B000005578,입장초등학교,041-585-3990,병설,143,82,61,18,7,11,2025
B000005579,위례초등학교,041-554-7366,단설,35,21,14,8,3,5,2025
B000005580,공주교육대학교부설초등학교,041-850-1816,부설,469,229,240,33,19,14,2025
B000005581,공주중동초등학교,041-850-9693,단설,130,78,52,20,6,14,2025
B000005582,공주봉황초등학교,041-854-4054,단설,73,39,34,12,5,7,2025
B000005583,공주금학초등학교,0418542050,단설,47,26,21,12,3,9,2025
B000005584,공주교동초등학교,041-852-8881,단설,120,61,59,15,4,11,2025
B000005586,효포초등학교,041-854-5370,병설,32,19,13,15,4,11,2025
B000005587,공주신월초등학교,041-881-5014,단설,1075,547,528,72,23,49,2025
B000005588,신관초등학교,041-856-1902,단설,456,219,237,37,15,22,2025
B000005589,구산초등학교,041-841-2169,병설,34,19,15,12,2,10,2025
B000005590,유구초등학교,0418411302,단설,75,43,32,14,6,8,2025
B000005592,의당초등학교,041-854-4072,병설,45,26,19,11,6,5,2025
B000005593,수촌초등학교,041-852-0069,단설,44,24,20,15,6,9,2025
B000005594,정안초등학교,041-858-6004,단설,37,18,19,12,2,10,2025
B000005595,석송초등학교,041-858-6066,단설,52,27,25,14,6,8,2025
B000005596,경천초등학교,041-855-2114,병설,14,8,6,11,4,7,2025
B000005597,계룡초등학교,041-857-5020,병설,40,19,21,18,4,14,2025
B000005598,이인초등학교,041-857-4014,단설,37,19,18,13,1,12,2025
B000005600,탄천초등학교,041-853-5161,단설,30,18,12,14,3,11,2025
B000005601,귀산초등학교,041-854-7301,병설,49,28,21,12,7,5,2025
B000005602,상서초등학교,041-855-0544,단설,49,38,11,16,5,11,2025
B000005603,우성초등학교,041-853-2488,단설,39,21,18,13,3,10,2025
B000005604,호계초등학교,041-841-7435,단설,24,13,11,11,3,8,2025
B000005605,마곡초등학교,041-841-8101,병설,22,10,12,11,6,5,2025
B000005606,신풍초등학교,041-841-1003,단설,32,19,13,12,4,8,2025
B000005608,반포초등학교,041-857-7904,단설,35,14,21,13,3,10,2025
B000005609,학봉초등학교,042-825-4643,단설,22,15,7,11,5,6,2025
B000005611,덕암초등학교,041-841-6352,단설,15,9,6,10,5,5,2025
B000005612,대남초등학교,041-936-3833,단설,69,39,30,14,6,8,2025
B000005613,명천초등학교,041-931-7188,단설,785,362,423,52,21,31,2025
B000005614,대관초등학교,041-934-1991,단설,191,93,98,23,11,12,2025
B000005615,대천초등학교,041-934-0116,단설,471,233,238,37,15,22,2025
B000005616,대천동대초등학교,041-931-7934,병설,802,402,400,54,25,29,2025
B000005617,한내초등학교,041-934-2101,단설,230,126,104,29,13,16,2025
B000005618,청룡초등학교,041-933-9775,병설,35,19,16,13,7,6,2025
B000005619,청파초등학교,041-932-4734,부설,53,27,26,15,7,8,2025
B000005620,관당초등학교,041-936-3814,단설,12,8,4,9,6,3,2025
B000005621,대창초등학교,0419346693,단설,23,9,14,10,6,4,2025
B000005622,웅천초등학교,931-2983,단설,30,16,14,11,4,7,2025
B000005624,천북초등학교,041-641-9018,단설,39,19,20,12,5,7,2025
B000005625,청소초등학교,041-932-9797,단설,26,16,10,13,6,7,2025
B000005626,주포초등학교,041-932-7006,단설,21,10,11,8,2,6,2025
B000005627,오천초등학교,041-932-4044,단설,13,6,7,12,5,7,2025
B000005628,주산초등학교,041-931-1396,병설,22,16,6,12,3,9,2025
B000005629,남포초등학교,041-933-0010,단설,24,13,11,12,3,9,2025
B000005630,송학초등학교,041-934-7092,단설,32,21,11,12,4,8,2025
B000005631,관창초등학교,,단설,80,40,40,14,5,9,2025
B000005632,청파초등학교외연도분교장,041-936-5004,단설,8,1,7,4,2,2,2025
B000005633,광명초등학교,041-936-6011,단설,15,5,10,9,7,2,2025
B000005634,미산초등학교,041-931-0163,단설,25,19,6,14,7,7,2025
B000005635,월전초등학교,041-933-1092,단설,22,16,6,9,5,4,2025
B000005636,청보초등학교,041-933-5266,단설,50,31,19,11,4,7,2025
B000005637,청라초등학교,041-934-8069,단설,55,22,33,13,5,8,2025
B000005638,옥계초등학교,041-936-7173,병설,41,23,18,14,4,10,2025
B000005639,개화초등학교,041-933-5141,단설,35,19,16,10,6,4,2025
B000005640,성주초등학교,041-934-3483,단설,31,18,13,13,3,10,2025
B000005642,청룡초등학교장고분교장,041-933-9775,병설,5,1,4,3,2,1,2025
B000005643,오천초등학교삽시분교장,041-932-3895,단설,7,4,3,3,2,1,2025
B000005645,온양중앙초등학교,041-546-2354,단설,279,157,122,31,10,21,2025
B000005646,온양온천초등학교,041-544-9828,단설,281,151,130,24,11,13,2025
B000005647,온양천도초등학교,041-543-6651,단설,714,380,334,46,14,32,2025
B000005648,온양신정초등학교,041-532-7902,단설,221,107,114,21,5,16,2025
B000005649,온양권곡초등학교,041-534-6800,단설,356,185,171,36,15,21,2025
B000005650,충무초등학교,041-547-5307,단설,378,192,186,27,7,20,2025
B000005651,용화초등학교,041-549-7494,단설,338,190,148,30,8,22,2025
B000005652,온양풍기초등학교,,단설,1046,500,546,67,17,50,2025
B000005653,온양초사초등학교,041-546-9114,단설,76,44,32,12,4,8,2025
B000005654,신광초등학교,041-534-7214,병설,266,136,130,26,8,18,2025
B000005656,온양초등학교,041-545-6367,단설,271,132,139,26,5,21,2025
B000005657,온양동신초등학교,041-544-6553,단설,720,369,351,48,14,34,2025
B000005658,염티초등학교,041-541-8733,단설,46,27,19,9,4,5,2025
B000005659,송곡초등학교,041-548-9427,병설,111,60,51,11,5,6,2025
B000005660,배방초등학교,041-548-1513,단설,936,459,477,63,17,46,2025
B000005661,아산북수초등학교,041-547-0931,단설,617,317,300,42,13,29,2025
B000005662,모산초등학교,041-549-9672,단설,851,433,418,57,16,41,2025
B000005664,금곡초등학교,041-549-9014,단설,132,65,67,19,2,17,2025
B000005665,연화초등학교,041-549-8563,단설,626,346,280,48,9,39,2025
B000005666,신화초등학교,041-542-9374,단설,48,29,19,14,3,11,2025
B000005667,영인초등학교,041-542-5081,단설,58,26,32,14,4,10,2025
B000005668,인주초등학교,041-533-1507,단설,76,39,37,12,6,6,2025
B000005669,금성초등학교,041-533-4462,단설,47,28,19,10,4,6,2025
B000005670,탕정초등학교,041-542-9206,단설,1072,575,497,77,20,57,2025
B000005671,동덕초등학교,041-533-3813,병설,202,98,104,21,12,9,2025
B000005673,음봉초등학교,041-542-9701,단설,72,44,28,9,5,4,2025
B000005674,쌍룡초등학교,041-547-0233,단설,44,27,17,9,6,3,2025
B000005675,둔포초등학교,041-531-9948,단설,344,184,160,35,15,20,2025
B000005676,관대초등학교,041-531-4683,단설,51,29,22,13,5,8,2025
B000005677,남창초등학교,041-531-8846,단설,41,21,20,11,4,7,2025
B000005678,아산남성초등학교,041-547-2315,단설,898,464,434,70,30,40,2025
B000005679,신창초등학교,041-542-1178,단설,411,204,207,38,12,26,2025
B000005680,오목초등학교,041-542-7264,단설,73,36,37,13,4,9,2025
B000005681,선장초등학교,041-542-0852,단설,23,16,7,12,5,7,2025
B000005682,도고초등학교,041-544-4423,단설,60,32,28,9,3,6,2025
B000005683,도고온천초등학교,041-541-0004,단설,51,23,28,11,5,6,2025
B000005684,송남초등학교,041-541-7362,병설,154,81,73,21,7,14,2025
B000005685,거산초등학교,041-542-9153,단설,63,38,25,12,6,6,2025
B000005687,서령초등학교,041-664-0755,단설,162,90,72,19,6,13,2025
B000005688,서림초등학교,041-666-1662,단설,619,289,330,45,12,33,2025
B000005689,오산초등학교,041-669-2704,단설,38,24,14,10,2,8,2025
B000005690,서동초등학교,041-664-0461,단설,478,237,241,38,15,23,2025
B000005691,서산동문초등학교,041-668-7913,단설,623,347,276,47,11,36,2025
B000005692,서산초등학교,041-664-5121,단설,280,152,128,27,9,18,2025
B000005693,부춘초등학교,041-669-0206,단설,547,282,265,39,10,29,2025
B000005694,학돌초등학교,041-668-8610,단설,457,258,199,35,9,26,2025
B000005695,서산예천초등학교,041-681-5408,단설,755,363,392,48,8,40,2025
B000005696,서산석림초등학교,041-668-6094,병설,526,251,275,42,11,31,2025
B000005697,서산대진초등학교,041-681-6624,단설,25,14,11,13,7,6,2025
B000005698,명지초등학교,041-663-7003,병설,49,27,22,11,3,8,2025
B000005699,대산초등학교,041-669-0151,단설,249,139,110,23,9,14,2025
B000005700,고북초등학교,041-669-6305,병설,42,25,17,11,6,5,2025
B000005701,언암초등학교,041-688-9043,단설,99,49,50,11,4,7,2025
B000005702,해미초등학교,041-688-1591,단설,138,66,72,16,6,10,2025
B000005703,운산초등학교,041-669-6340,단설,43,26,17,12,7,5,2025
B000005704,운신초등학교,041-688-4104,단설,40,25,15,12,4,8,2025
B000005705,음암초등학교,041-669-6211,단설,175,94,81,19,11,8,2025
B000005706,동암초등학교,041-669-2252,단설,73,37,36,11,4,7,2025
B000005708,부성초등학교,041-664-4513,병설,333,170,163,29,8,21,2025
B000005709,인지초등학교,041-662-1047,단설,267,137,130,24,11,13,2025
B000005710,차동초등학교,041-662-1080,단설,76,36,40,13,3,10,2025
B000005711,가사초등학교,041-669-1394,병설,67,27,40,10,4,6,2025
B000005712,강당초등학교,041-669-6862,단설,36,23,13,11,7,4,2025
B000005713,부석초등학교,041-664-8600,단설,38,21,17,11,9,2,2025
B000005714,팔봉초등학교,041-662-6019,단설,55,31,24,10,3,7,2025
B000005717,부석초등학교간월도분교장,,단설,4,0,4,2,1,1,2025
B000005719,금산중앙초등학교,041-753-6335,단설,450,226,224,39,9,30,2025
B000005720,금산초등학교,0417536231,단설,364,180,184,30,12,18,2025
B000005721,금산동초등학교,041-753-6135,단설,86,41,45,14,3,11,2025
B000005722,제원초등학교,041-752-7024,병설,23,16,7,12,4,8,2025
B000005723,용문초등학교,041-753-4594,단설,83,38,45,14,2,12,2025
B000005724,군북초등학교,041-753-2919,단설,28,13,15,11,5,6,2025
B000005725,부리초등학교,041-753-7627,단설,32,15,17,13,6,7,2025
B000005726,남일초등학교,0417549463,단설,49,27,22,12,4,8,2025
B000005727,남이초등학교,041-752-4297,단설,21,16,5,9,5,4,2025
B000005728,금성초등학교,041-752-3009,단설,24,15,9,10,6,4,2025
B000005729,복수초등학교,041-752-8314,단설,20,11,9,14,5,9,2025
B000005730,신대초등학교,041-752-8212,단설,18,9,9,10,2,8,2025
B000005731,진산초등학교,041-752-2806,단설,35,17,18,15,5,10,2025
B000005732,추부초등학교,041-753-7910,단설,110,56,54,19,7,12,2025
B000005733,성대초등학교,041-754-7168,단설,21,16,5,11,5,6,2025
B000005734,금성초등학교금계분교장,0417523009,단설,4,4,0,2,1,1,2025
B000005735,상곡초등학교,041-753-7048,단설,29,14,15,11,9,2,2025
B000005755,논산반월초등학교,041-735-2435,단설,92,44,48,12,3,9,2025
B000005793,송간초등학교,041-834-0565,단설,29,15,14,14,3,11,2025
B000005794,대왕초등학교,041-832-8776,단설,36,22,14,12,4,8,2025
B000005795,궁남초등학교,041-834-3124,단설,43,22,21,13,4,9,2025
B000005796,백제초등학교,041-833-7263,단설,79,52,27,16,5,11,2025
B000005797,부여초등학교,041-834-3222,단설,516,260,256,36,12,24,2025
B000005798,백강초등학교,0418359392,병설,33,14,19,11,6,5,2025
B000005799,규암초등학교,041-836-0418,단설,430,227,203,38,9,29,2025
B000005800,합송초등학교,041-836-0428,단설,31,15,16,11,2,9,2025
B000005801,은산초등학교,041-832-1065,병설,52,26,26,13,3,10,2025
B000005802,구룡초등학교,041-832-2830,병설,14,9,5,11,3,8,2025
B000005804,홍산초등학교,041-836-0450,단설,64,32,32,12,5,7,2025
B000005807,옥산초등학교,0418320090,단설,11,6,5,11,4,7,2025
B000005808,내산초등학교,041-832-1174,병설,25,15,10,13,6,7,2025
B000005809,외산초등학교,041-836-5292,단설,19,11,8,12,5,7,2025
B000005810,장암초등학교,041-833-1417,단설,33,17,16,12,3,9,2025
B000005811,임천초등학교,041-837-0713,단설,49,16,33,13,5,8,2025
B000005812,양화초등학교,041-834-6796,단설,14,10,4,10,4,6,2025
B000005814,세도초등학교,041-833-4563,단설,33,14,19,10,4,6,2025
B000005815,석양초등학교석성분교장,0418362109,단설,10,6,4,5,2,3,2025
B000005816,석양초등학교,041-836-2109,단설,40,23,17,14,3,11,2025
B000005817,초촌초등학교,041-832-7863,단설,22,12,10,12,4,8,2025
B000005818,서천초등학교,041-953-6908,단설,522,252,270,43,16,27,2025
B000005819,장항초등학교,041-956-0068,단설,123,62,61,18,6,12,2025
B000005820,송림초등학교,041-956-0382,병설,34,18,16,14,3,11,2025
B000005821,장항중앙초등학교,041-956-0044,단설,146,67,79,22,9,13,2025
B000005823,마동초등학교,041-956-1330,병설,52,25,27,12,5,7,2025
B000005824,송석초등학교,041-952-7068,병설,34,16,18,11,5,6,2025
B000005825,오성초등학교,041-951-5505,단설,31,18,13,13,7,6,2025
B000005826,기산초등학교,041-951-1014,단설,18,9,9,11,6,5,2025
B000005827,한산초등학교,041-952-7927,단설,33,20,13,13,5,8,2025
B000005828,화양초등학교,041-951-1523,단설,20,14,6,10,7,3,2025
B000005829,마산초등학교,041-953-1734,단설,22,11,11,11,5,6,2025
B000005830,부내초등학교,0419534088,병설,35,19,16,15,5,10,2025
B000005831,비인초등학교,041-952-1322,단설,29,21,8,15,2,13,2025
B000005832,서면초등학교,041-951-8121,단설,28,21,7,12,5,7,2025
B000005833,서도초등학교,041-951-8124,단설,64,20,44,13,5,8,2025
B000005834,시초초등학교,041-952-4506,단설,49,29,20,14,5,9,2025
B000005837,청송초등학교,041-943-6771,단설,40,16,24,12,6,6,2025
B000005838,청양초등학교,041-943-2684,단설,264,150,114,33,12,21,2025
B000005839,정산초등학교,041-943-6054,병설,73,33,40,15,6,9,2025
B000005840,합천초등학교,041-942-4021,단설,35,20,15,10,6,4,2025
B000005841,장평초등학교,041-942-6007,단설,23,12,11,11,4,7,2025
B000005843,청남초등학교,041-943-4854,단설,23,15,8,10,6,4,2025
B000005844,남양초등학교,041-942-1445,단설,42,21,21,11,5,6,2025
B000005845,목면초등학교,041-944-0766,단설,30,16,14,11,6,5,2025
B000005846,운곡초등학교,041-942-9765,단설,26,14,12,11,5,6,2025
B000005847,가남초등학교,041-943-5401,단설,51,29,22,14,8,6,2025
B000005848,수정초등학교,041-942-3505,병설,52,22,30,12,4,8,2025
B000005850,홍남초등학교,041-632-2648,단설,623,307,316,46,20,26,2025
B000005852,홍성초등학교,041-632-2641,단설,557,265,292,43,12,31,2025
B000005854,광천초등학교,041-641-0561,단설,143,81,62,19,5,14,2025
B000005858,서해삼육초등학교,041-642-0978,단설,181,95,86,11,4,7,2025
B000005859,홍동초등학교,041-633-3990,단설,104,60,44,15,6,9,2025
B000005860,금당초등학교,041-633-3170,병설,27,15,12,11,2,9,2025
B000005861,금마초등학교,041-633-7059,단설,42,24,18,14,6,8,2025
B000005862,배양초등학교,041-631-1223,단설,41,21,20,12,3,9,2025
B000005864,용봉초등학교,041-631-1201,병설,76,39,37,14,5,9,2025
B000005865,구항초등학교,041-632-7013,단설,35,15,20,15,2,13,2025
B000005866,대정초등학교,041-641-0828,단설,26,14,12,13,4,9,2025
B000005868,갈산초등학교,041-633-2009,단설,47,26,21,11,5,6,2025
B000005869,신당초등학교,041-633-0017,단설,16,6,10,7,4,3,2025
B000005870,서부초등학교,041-631-1089,단설,31,15,16,13,5,8,2025
B000005871,결성초등학교,041-642-8892,단설,13,5,8,8,3,5,2025
B000005872,은하초등학교,041-642-7400,단설,16,10,6,8,3,5,2025
B000005873,장곡초등학교,041-642-3593,병설,30,17,13,12,6,6,2025
B000005876,금오초등학교,041-334-2504,단설,470,251,219,33,13,20,2025
B000005877,예산초등학교,041-332-3714,단설,337,160,177,27,14,13,2025
B000005878,신례원초등학교,041-334-2164,단설,113,54,59,15,4,11,2025
B000005879,예산중앙초등학교,041-967-2710,단설,120,69,51,18,5,13,2025
B000005880,삽교초등학교,041-337-2863,병설,62,31,31,13,4,9,2025
B000005881,용동초등학교,041-337-2881,단설,42,21,21,13,5,8,2025
B000005883,대술초등학교,041-333-9331,단설,27,13,14,14,5,9,2025
B000005884,신양초등학교,041-333-1943,병설,26,15,11,13,3,10,2025
B000005885,평촌초등학교,041-332-0082,단설,32,15,17,13,4,9,2025
B000005886,응봉초등학교,041-332-3702,병설,25,13,12,13,3,10,2025
B000005887,대흥초등학교,041-332-0021,단설,10,4,6,9,8,1,2025
B000005888,웅산초등학교,041-332-1561,단설,30,14,16,13,3,10,2025
B000005889,신암초등학교,041-332-6546,병설,35,21,14,13,6,7,2025
B000005890,조림초등학교,041-332-9102,단설,38,20,18,11,6,5,2025
B000005891,양신초등학교,041-332-6866,병설,30,15,15,11,3,8,2025
B000005892,오가초등학교,041-332-7321,단설,28,18,10,15,7,8,2025
B000005893,시량초등학교,041-338-5603,병설,45,21,24,11,4,7,2025
B000005894,덕산초등학교,041-337-0205,단설,90,41,49,14,5,9,2025
B000005895,구만초등학교,041-337-0320,단설,14,6,8,9,5,4,2025
B000005896,고덕초등학교,041-337-5172,병설,31,13,18,13,4,9,2025
B000005897,예덕초등학교,041-338-8434,단설,21,9,12,11,3,8,2025
B000005898,봉산초등학교,0413378788,단설,31,16,15,10,4,6,2025
B000005899,수덕초등학교,041-337-6069,단설,37,23,14,11,2,9,2025
B000005900,태안초등학교,041-673-2873,단설,282,149,133,27,12,15,2025
B000005901,송암초등학교,041-674-0984,단설,49,25,24,12,6,6,2025
B000005902,백화초등학교,041-672-2552,단설,628,309,319,46,13,33,2025
B000005903,화동초등학교,041-674-5952,단설,198,101,97,21,11,10,2025
B000005904,방포초등학교,041-673-4075,단설,30,14,16,9,4,5,2025
B000005905,안면초등학교,041-673-1014,병설,100,55,45,14,8,6,2025
B000005906,창기초등학교,041-673-5345,단설,31,17,14,12,7,5,2025
B000005907,대기초등학교,672-8592,병설,42,22,20,11,2,9,2025
B000005908,원북초등학교,041-672-7009,병설,57,29,28,14,4,10,2025
B000005909,이원초등학교,041-672-8007,단설,25,11,14,11,6,5,2025
B000005910,모항초등학교,041-672-3221,단설,20,7,13,7,5,2,2025
B000005911,시목초등학교,041-674-6810,단설,40,17,23,10,2,8,2025
B000005912,소원초등학교,041-674-9170,단설,39,24,15,12,4,8,2025
B000005915,근흥초등학교,041-672-1131,병설,11,7,4,8,3,5,2025
B000005916,남면초등학교,041-672-2006,병설,27,9,18,14,5,9,2025
B000005917,삼성초등학교,041-675-4208,단설,27,11,16,12,8,4,2025
B000005918,고남초등학교,041-673-5672,병설,26,12,14,10,5,5,2025
B000005919,안중초등학교,041-673-5373,단설,25,18,7,13,7,6,2025
B000005921,이원초등학교관동분교장,041-672-8007,단설,12,9,3,4,4,0,2025
B000005924,성당초등학교,0413562638,단설,98,37,61,13,3,10,2025
B000005925,당진초등학교,041-357-3750,단설,383,185,198,34,10,24,2025
B000005926,계성초등학교,041-352-4032,병설,608,311,297,50,10,40,2025
B000005927,탑동초등학교,041-357-1321,단설,1141,584,557,73,30,43,2025
B000005928,원당초등학교,041-358-5604,단설,780,383,397,57,14,43,2025
B000005929,기지초등학교,041-355-6090,단설,1501,772,729,102,38,64,2025
B000005930,송악초등학교,041-357-4311,병설,168,87,81,20,8,12,2025
B000005931,전대초등학교,041-357-8203,단설,63,35,28,13,6,7,2025
B000005932,상록초등학교,0413568079,단설,255,135,120,28,7,21,2025
B000005933,신촌초등학교,041.362.5351,단설,32,20,12,10,5,5,2025
B000005934,합덕초등학교,0413622691,단설,178,101,77,22,7,15,2025
B000005935,합도초등학교,0413634621,단설,63,39,24,15,3,12,2025
B000005936,서정초등학교,041-362-6057,단설,562,266,296,41,15,26,2025
B000005937,신평초등학교,041-362-0398,병설,151,77,74,19,3,16,2025
B000005938,한정초등학교,041-362-6576,병설,54,29,25,12,5,7,2025
B000005939,당산초등학교,041-352-3050,병설,122,59,63,14,7,7,2025
B000005940,송산초등학교,0413529681,단설,85,41,44,16,7,9,2025
B000005941,유곡초등학교,041-352-3177,병설,268,125,143,26,12,14,2025
B000005942,고산초등학교,041-357-6202,단설,51,28,23,12,4,8,2025
B000005943,고대초등학교,041-353-8041,단설,78,40,38,13,6,7,2025
B000005944,삼봉초등학교,041-352-4079,단설,57,29,28,16,7,9,2025
B000005945,석문초등학교,041-353-9344,단설,72,42,30,13,4,9,2025
B000005946,천의초등학교,0413524049,병설,45,25,20,11,5,6,2025
B000005947,정미초등학교,041-353-6222,병설,32,13,19,9,6,3,2025
B000005948,조금초등학교,041-353-3126,단설,42,26,16,11,6,5,2025
B000005952,북창초등학교,041-362-2316,단설,97,55,42,12,5,7,2025
B000005953,순성초등학교,041-353-4140,단설,63,30,33,11,4,7,2025
B000005954,우강초등학교,041-363-0082,단설,76,37,39,12,6,6,2025
B000005955,초락초등학교,041-353-0608,단설,33,20,13,10,2,8,2025
B000005956,삼봉초등학교난지분교장,041-352-4079,단설,1,0,1,1,1,0,2025
B000005957,전주교육대학교전주부설초등학교,063-286-5960,부설,395,197,198,25,13,12,2025
B000005958,전주중앙초등학교,0632842521,단설,71,35,36,14,2,12,2025
B000005959,전주초등학교,063-276-1937,단설,257,145,112,22,5,17,2025
B000005960,전주풍남초등학교,063-286-4283,단설,113,65,48,16,3,13,2025
B000005961,전주남초등학교,0632823847,단설,233,126,107,23,10,13,2025
B000005962,전주완산초등학교,,단설,51,32,19,11,5,6,2025
B000005963,전주완산서초등학교,063-284-9305,단설,178,98,80,22,3,19,2025
B000005964,전주서천초등학교,063-274-7074,단설,283,148,135,26,4,22,2025
B000005965,전주화산초등학교,063-285-9352,병설,755,408,347,58,10,48,2025
B000005966,전주한들초등학교,063-227-2650,단설,757,383,374,62,12,50,2025
B000005967,전주대성초등학교,063-284-5391,단설,39,19,20,13,4,9,2025
B000005968,전주평화초등학교,063-287-6751,단설,159,94,65,25,10,15,2025
B000005969,전주문정초등학교,063-224-5975,단설,68,50,18,13,4,9,2025
B000005970,전주삼천남초등학교,063-223-2913,단설,251,120,131,23,9,14,2025
B000005971,전주용흥초등학교,0632274638,단설,595,296,299,49,8,41,2025
B000005972,전주중인초등학교,063-222-5972,단설,89,51,38,13,2,11,2025
B000005973,전주우림초등학교,063-715-1054,단설,312,146,166,32,10,22,2025
B000005974,전주용와초등학교,063-237-3141,단설,339,172,167,32,8,24,2025
B000005975,전주삼천초등학교,063-223-6243,단설,315,166,149,32,8,24,2025
B000005976,전주서신초등학교,063-251-4582,단설,573,286,287,48,8,40,2025
B000005977,전주서문초등학교,063-255-4384,단설,315,151,164,28,13,15,2025
B000005978,전주여울초등학교,063-255-9080,단설,454,216,238,35,9,26,2025
B000005979,전주서일초등학교,063-251-8993,단설,546,284,262,47,7,40,2025
B000005980,전주동초등학교,063-285-7055,단설,209,111,98,24,7,17,2025
B000005981,전주중산초등학교,063-220-6570,단설,405,204,201,36,5,31,2025
B000005982,전주효자초등학교,063-222-8598,병설,95,46,49,12,2,10,2025
B000005983,전주서원초등학교,063-221-8057,단설,320,167,153,31,8,23,2025
